,case,organ,dice,method
0,0,bladder,0.8926106095314026,01
1,1,bladder,0.8486433625221252,01
2,2,bladder,0.9371030926704407,01
3,3,bladder,0.9329233765602112,01
4,4,bladder,0.7823606133460999,01
5,5,bladder,0.8895677328109741,01
6,6,bladder,0.6847409605979919,01
7,7,bladder,0.8999613523483276,01
8,8,bladder,0.8052737712860107,01
9,9,bladder,0.778449535369873,01
10,10,bladder,0.8987486958503723,01
11,11,bladder,0.9306787252426147,01
12,12,bladder,0.7510734796524048,01
13,13,bladder,0.9048725962638855,01
14,14,bladder,0.9011070728302002,01
15,15,bladder,0.887542188167572,01
16,16,bladder,0.8233293294906616,01
17,17,bladder,0.8998737335205078,01
18,18,bladder,0.79341721534729,01
19,19,bladder,0.8963311314582825,01
20,20,bladder,0.8145048022270203,01
21,21,bladder,0.8922172784805298,01
22,22,bladder,0.9104935526847839,01
23,23,bladder,0.8143259882926941,01
24,24,bladder,0.9085747599601746,01
25,25,bladder,0.9160492420196533,01
26,26,bladder,0.6841939687728882,01
27,27,bladder,0.882753312587738,01
28,28,bladder,0.919383704662323,01
29,29,bladder,0.4952632784843445,01
30,30,bladder,0.9093965888023376,01
31,31,bladder,0.8590313792228699,01
32,32,bladder,0.8203136920928955,01
33,33,bladder,0.8619891405105591,01
34,34,bladder,0.7384122610092163,01
35,35,bladder,0.7775098085403442,01
36,36,bladder,0.820534348487854,01
37,37,bladder,0.917884349822998,01
38,38,bladder,0.862843930721283,01
39,39,bladder,0.9119179844856262,01
40,40,bladder,0.6674070358276367,01
41,41,bladder,0.817578136920929,01
42,42,bladder,0.8606293201446533,01
43,43,bladder,0.8965811729431152,01
44,44,bladder,0.8070157170295715,01
45,45,bladder,0.8739675879478455,01
46,46,bladder,0.7265817523002625,01
47,47,bladder,0.8410662412643433,01
48,0,rectum,0.6559914350509644,01
49,1,rectum,0.7393608689308167,01
50,2,rectum,0.6457811594009399,01
51,3,rectum,0.7149749398231506,01
52,4,rectum,0.7130038738250732,01
53,5,rectum,0.7197718620300293,01
54,6,rectum,0.5949614644050598,01
55,7,rectum,0.7353951930999756,01
56,8,rectum,0.7141528725624084,01
57,9,rectum,0.5169661641120911,01
58,10,rectum,0.49719154834747314,01
59,11,rectum,0.756939172744751,01
60,12,rectum,0.701130211353302,01
61,13,rectum,0.6866075396537781,01
62,14,rectum,0.6568341851234436,01
63,15,rectum,0.6776310801506042,01
64,16,rectum,0.1757608950138092,01
65,17,rectum,0.7543389201164246,01
66,18,rectum,0.7528451681137085,01
67,19,rectum,0.7248281240463257,01
68,20,rectum,0.283380925655365,01
69,21,rectum,0.710862398147583,01
70,22,rectum,0.49838292598724365,01
71,23,rectum,0.7100950479507446,01
72,24,rectum,0.5881554484367371,01
73,25,rectum,0.8263539671897888,01
74,26,rectum,0.7684634327888489,01
75,27,rectum,0.776695191860199,01
76,28,rectum,0.3180289566516876,01
77,29,rectum,0.7918139100074768,01
78,30,rectum,0.5698248744010925,01
79,31,rectum,0.5671711564064026,01
80,32,rectum,0.4819323718547821,01
81,33,rectum,0.8016915917396545,01
82,34,rectum,0.685680627822876,01
83,35,rectum,0.7667500376701355,01
84,36,rectum,0.16076646745204926,01
85,37,rectum,0.6141637563705444,01
86,38,rectum,0.7097957730293274,01
87,39,rectum,0.6559160351753235,01
88,40,rectum,0.7263438701629639,01
89,41,rectum,0.7117960453033447,01
90,42,rectum,0.7706078886985779,01
91,43,rectum,0.6406651735305786,01
92,44,rectum,0.5808555483818054,01
93,45,rectum,0.6202076077461243,01
94,46,rectum,0.5885753631591797,01
95,47,rectum,0.723034679889679,01
96,0,bladder,0.8423947691917419,04
97,1,bladder,0.3460937738418579,04
98,2,bladder,0.8166067600250244,04
99,3,bladder,0.7675126791000366,04
100,4,bladder,0.8477222919464111,04
101,5,bladder,0.7109851837158203,04
102,6,bladder,0.7328141331672668,04
103,7,bladder,0.8913235068321228,04
104,8,bladder,0.8152519464492798,04
105,9,bladder,0.703016996383667,04
106,10,bladder,0.868665874004364,04
107,11,bladder,0.8442820310592651,04
108,12,bladder,0.7773497104644775,04
109,13,bladder,0.7962526082992554,04
110,14,bladder,0.6126953363418579,04
111,15,bladder,0.8123387694358826,04
112,16,bladder,0.7043556571006775,04
113,17,bladder,0.8837382197380066,04
114,18,bladder,0.5488792657852173,04
115,19,bladder,0.6320880651473999,04
116,20,bladder,0.5917579531669617,04
117,21,bladder,0.6809239983558655,04
118,22,bladder,0.7937993407249451,04
119,23,bladder,0.7971663475036621,04
120,24,bladder,0.7436047196388245,04
121,25,bladder,0.8287063837051392,04
122,26,bladder,0.004659597761929035,04
123,27,bladder,0.5540634393692017,04
124,28,bladder,0.8127829432487488,04
125,29,bladder,0.01600000075995922,04
126,30,bladder,0.659630298614502,04
127,31,bladder,0.8901280164718628,04
128,32,bladder,0.13525640964508057,04
129,33,bladder,0.7813283205032349,04
130,34,bladder,0.879725456237793,04
131,35,bladder,0.8630267381668091,04
132,36,bladder,0.0,04
133,37,bladder,0.8279340267181396,04
134,38,bladder,0.7213103175163269,04
135,39,bladder,0.7867670059204102,04
136,40,bladder,0.6317731142044067,04
137,41,bladder,0.8399121165275574,04
138,42,bladder,0.7721266746520996,04
139,43,bladder,0.8402683138847351,04
140,44,bladder,0.7978957295417786,04
141,45,bladder,0.7073349952697754,04
142,46,bladder,0.826517641544342,04
143,47,bladder,0.7230522036552429,04
144,0,rectum,0.6173509955406189,04
145,1,rectum,0.6919746398925781,04
146,2,rectum,0.6134511232376099,04
147,3,rectum,0.7899900674819946,04
148,4,rectum,0.4805613160133362,04
149,5,rectum,0.40883222222328186,04
150,6,rectum,0.6554752588272095,04
151,7,rectum,0.46347373723983765,04
152,8,rectum,0.3727858364582062,04
153,9,rectum,0.40375959873199463,04
154,10,rectum,0.42186814546585083,04
155,11,rectum,0.5441198945045471,04
156,12,rectum,0.2641903758049011,04
157,13,rectum,0.48876023292541504,04
158,14,rectum,0.4715026021003723,04
159,15,rectum,0.4634268283843994,04
160,16,rectum,0.22421260178089142,04
161,17,rectum,0.45552414655685425,04
162,18,rectum,0.6051485538482666,04
163,19,rectum,0.3499489724636078,04
164,20,rectum,0.367771178483963,04
165,21,rectum,0.46753597259521484,04
166,22,rectum,0.04514015465974808,04
167,23,rectum,0.44218793511390686,04
168,24,rectum,0.5347235202789307,04
169,25,rectum,0.5994699597358704,04
170,26,rectum,0.4708336293697357,04
171,27,rectum,0.3384951055049896,04
172,28,rectum,0.6459693312644958,04
173,29,rectum,0.4777366518974304,04
174,30,rectum,0.5437315106391907,04
175,31,rectum,0.6291877627372742,04
176,32,rectum,0.00151103048119694,04
177,33,rectum,0.6465221643447876,04
178,34,rectum,0.3157452642917633,04
179,35,rectum,0.5997827649116516,04
180,36,rectum,0.3155710697174072,04
181,37,rectum,0.6877511143684387,04
182,38,rectum,0.6612421274185181,04
183,39,rectum,0.5505671501159668,04
184,40,rectum,0.4515042006969452,04
185,41,rectum,0.5593270063400269,04
186,42,rectum,0.6863892078399658,04
187,43,rectum,0.5467556118965149,04
188,44,rectum,0.4915730357170105,04
189,45,rectum,0.22984212636947632,04
190,46,rectum,0.5096825361251831,04
191,47,rectum,0.601482093334198,04
192,0,bladder,0.917372465133667,05
193,1,bladder,0.8378028869628906,05
194,2,bladder,0.9390502572059631,05
195,3,bladder,0.9288289546966553,05
196,4,bladder,0.8880305290222168,05
197,5,bladder,0.9120761156082153,05
198,6,bladder,0.7515228986740112,05
199,7,bladder,0.9048763513565063,05
200,8,bladder,0.8982923030853271,05
201,9,bladder,0.7478601932525635,05
202,10,bladder,0.8909794092178345,05
203,11,bladder,0.9089639186859131,05
204,12,bladder,0.9302534461021423,05
205,13,bladder,0.8723790645599365,05
206,14,bladder,0.8957164883613586,05
207,15,bladder,0.9200392365455627,05
208,16,bladder,0.8640550374984741,05
209,17,bladder,0.8985288143157959,05
210,18,bladder,0.8556749224662781,05
211,19,bladder,0.9092872142791748,05
212,20,bladder,0.899642825126648,05
213,21,bladder,0.9180805087089539,05
214,22,bladder,0.874964714050293,05
215,23,bladder,0.808682918548584,05
216,24,bladder,0.9353344440460205,05
217,25,bladder,0.9328218698501587,05
218,26,bladder,0.5431914925575256,05
219,27,bladder,0.8607944846153259,05
220,28,bladder,0.9038794040679932,05
221,29,bladder,0.7614973187446594,05
222,30,bladder,0.8784409761428833,05
223,31,bladder,0.9091419577598572,05
224,32,bladder,0.8869840502738953,05
225,33,bladder,0.884465217590332,05
226,34,bladder,0.9175971150398254,05
227,35,bladder,0.822569727897644,05
228,36,bladder,0.8028223514556885,05
229,37,bladder,0.9328555464744568,05
230,38,bladder,0.8874186873435974,05
231,39,bladder,0.9065447449684143,05
232,40,bladder,0.7045428156852722,05
233,41,bladder,0.8828217387199402,05
234,42,bladder,0.8511583805084229,05
235,43,bladder,0.9320604801177979,05
236,44,bladder,0.8521191477775574,05
237,45,bladder,0.8978258967399597,05
238,46,bladder,0.8059881925582886,05
239,47,bladder,0.8669493794441223,05
240,0,rectum,0.5126065015792847,05
241,1,rectum,0.6647633910179138,05
242,2,rectum,0.6360375881195068,05
243,3,rectum,0.6635717153549194,05
244,4,rectum,0.7431637644767761,05
245,5,rectum,0.7395303249359131,05
246,6,rectum,0.6304576992988586,05
247,7,rectum,0.7742928862571716,05
248,8,rectum,0.69525146484375,05
249,9,rectum,0.4961332678794861,05
250,10,rectum,0.5370426177978516,05
251,11,rectum,0.766709566116333,05
252,12,rectum,0.7148333787918091,05
253,13,rectum,0.7164661884307861,05
254,14,rectum,0.5922474265098572,05
255,15,rectum,0.6591941714286804,05
256,16,rectum,0.37998485565185547,05
257,17,rectum,0.7160958647727966,05
258,18,rectum,0.7531697750091553,05
259,19,rectum,0.720176637172699,05
260,20,rectum,0.34047266840934753,05
261,21,rectum,0.6652414202690125,05
262,22,rectum,0.5595744848251343,05
263,23,rectum,0.7601721882820129,05
264,24,rectum,0.6228243112564087,05
265,25,rectum,0.7825490832328796,05
266,26,rectum,0.7803125381469727,05
267,27,rectum,0.8038747310638428,05
268,28,rectum,0.49673202633857727,05
269,29,rectum,0.7942950129508972,05
270,30,rectum,0.7443206906318665,05
271,31,rectum,0.6295723915100098,05
272,32,rectum,0.6421619653701782,05
273,33,rectum,0.8286303281784058,05
274,34,rectum,0.8095670342445374,05
275,35,rectum,0.7714133858680725,05
276,36,rectum,0.6301116943359375,05
277,37,rectum,0.640917956829071,05
278,38,rectum,0.7117273211479187,05
279,39,rectum,0.6876744627952576,05
280,40,rectum,0.6775661110877991,05
281,41,rectum,0.6365217566490173,05
282,42,rectum,0.8082722425460815,05
283,43,rectum,0.6947788596153259,05
284,44,rectum,0.5713176131248474,05
285,45,rectum,0.6055083870887756,05
286,46,rectum,0.7580046057701111,05
287,47,rectum,0.6045400500297546,05
288,0,bladder,0.9221817851066589,06
289,1,bladder,0.7868900299072266,06
290,2,bladder,0.9375481605529785,06
291,3,bladder,0.9329103827476501,06
292,4,bladder,0.9111759066581726,06
293,5,bladder,0.8800995349884033,06
294,6,bladder,0.7320160865783691,06
295,7,bladder,0.9231135249137878,06
296,8,bladder,0.9131698608398438,06
297,9,bladder,0.8163277506828308,06
298,10,bladder,0.9240161180496216,06
299,11,bladder,0.9137399792671204,06
300,12,bladder,0.9498007893562317,06
301,13,bladder,0.8887304067611694,06
302,14,bladder,0.8834161758422852,06
303,15,bladder,0.8948681354522705,06
304,16,bladder,0.841456413269043,06
305,17,bladder,0.9264602065086365,06
306,18,bladder,0.8700577020645142,06
307,19,bladder,0.926940381526947,06
308,20,bladder,0.9032779932022095,06
309,21,bladder,0.9189678430557251,06
310,22,bladder,0.8789117336273193,06
311,23,bladder,0.8446822762489319,06
312,24,bladder,0.9300677180290222,06
313,25,bladder,0.9208237528800964,06
314,26,bladder,0.49725860357284546,06
315,27,bladder,0.7875611782073975,06
316,28,bladder,0.9166824817657471,06
317,29,bladder,0.6952670812606812,06
318,30,bladder,0.8944435119628906,06
319,31,bladder,0.901420533657074,06
320,32,bladder,0.8829931616783142,06
321,33,bladder,0.8665902614593506,06
322,34,bladder,0.9323757290840149,06
323,35,bladder,0.8438049554824829,06
324,36,bladder,0.8682976961135864,06
325,37,bladder,0.9418140649795532,06
326,38,bladder,0.8893935680389404,06
327,39,bladder,0.871403694152832,06
328,40,bladder,0.7021927237510681,06
329,41,bladder,0.8737673759460449,06
330,42,bladder,0.8239221572875977,06
331,43,bladder,0.9221816658973694,06
332,44,bladder,0.8412030935287476,06
333,45,bladder,0.9067833423614502,06
334,46,bladder,0.8182359337806702,06
335,47,bladder,0.8753836750984192,06
336,0,rectum,0.659696102142334,06
337,1,rectum,0.6687818765640259,06
338,2,rectum,0.6842862963676453,06
339,3,rectum,0.7619428634643555,06
340,4,rectum,0.7056865692138672,06
341,5,rectum,0.7208560109138489,06
342,6,rectum,0.6083420515060425,06
343,7,rectum,0.801799476146698,06
344,8,rectum,0.7077409029006958,06
345,9,rectum,0.6395845413208008,06
346,10,rectum,0.6842105388641357,06
347,11,rectum,0.7682088613510132,06
348,12,rectum,0.6209269762039185,06
349,13,rectum,0.7553358674049377,06
350,14,rectum,0.7069035768508911,06
351,15,rectum,0.7154340744018555,06
352,16,rectum,0.5166240334510803,06
353,17,rectum,0.7594711184501648,06
354,18,rectum,0.7886165976524353,06
355,19,rectum,0.7453802227973938,06
356,20,rectum,0.538624107837677,06
357,21,rectum,0.7012338638305664,06
358,22,rectum,0.5881893038749695,06
359,23,rectum,0.7425198554992676,06
360,24,rectum,0.6017927527427673,06
361,25,rectum,0.7639029622077942,06
362,26,rectum,0.7978665232658386,06
363,27,rectum,0.7996485233306885,06
364,28,rectum,0.6754515171051025,06
365,29,rectum,0.842445969581604,06
366,30,rectum,0.774678111076355,06
367,31,rectum,0.7092878818511963,06
368,32,rectum,0.5298991799354553,06
369,33,rectum,0.8534522652626038,06
370,34,rectum,0.7640431523323059,06
371,35,rectum,0.8081859350204468,06
372,36,rectum,0.6219042539596558,06
373,37,rectum,0.6856849789619446,06
374,38,rectum,0.7135117650032043,06
375,39,rectum,0.7128623127937317,06
376,40,rectum,0.6012040972709656,06
377,41,rectum,0.6254947185516357,06
378,42,rectum,0.8281668424606323,06
379,43,rectum,0.6523198485374451,06
380,44,rectum,0.6205748319625854,06
381,45,rectum,0.5742504596710205,06
382,46,rectum,0.7655592560768127,06
383,47,rectum,0.8066844940185547,06
384,0,bladder,0.8802647590637207,07
385,1,bladder,0.8371785283088684,07
386,2,bladder,0.920413613319397,07
387,3,bladder,0.9220417737960815,07
388,4,bladder,0.8772878050804138,07
389,5,bladder,0.8914732336997986,07
390,6,bladder,0.6449187994003296,07
391,7,bladder,0.9103723764419556,07
392,8,bladder,0.8999149799346924,07
393,9,bladder,0.7237863540649414,07
394,10,bladder,0.8764580488204956,07
395,11,bladder,0.9142293930053711,07
396,12,bladder,0.9016959071159363,07
397,13,bladder,0.8716244697570801,07
398,14,bladder,0.8909950852394104,07
399,15,bladder,0.8819452524185181,07
400,16,bladder,0.8316817283630371,07
401,17,bladder,0.8841770887374878,07
402,18,bladder,0.7958799004554749,07
403,19,bladder,0.8644800782203674,07
404,20,bladder,0.8209807872772217,07
405,21,bladder,0.9267529249191284,07
406,22,bladder,0.8779164552688599,07
407,23,bladder,0.7732493281364441,07
408,24,bladder,0.9348989129066467,07
409,25,bladder,0.925123929977417,07
410,26,bladder,0.6589211821556091,07
411,27,bladder,0.8609963655471802,07
412,28,bladder,0.9178233742713928,07
413,29,bladder,0.8062722682952881,07
414,30,bladder,0.8339101076126099,07
415,31,bladder,0.8740386366844177,07
416,32,bladder,0.8597999215126038,07
417,33,bladder,0.8582666516304016,07
418,34,bladder,0.9042335748672485,07
419,35,bladder,0.8142009973526001,07
420,36,bladder,0.8277952075004578,07
421,37,bladder,0.9305408596992493,07
422,38,bladder,0.8391814231872559,07
423,39,bladder,0.906706690788269,07
424,40,bladder,0.6882157921791077,07
425,41,bladder,0.9215230345726013,07
426,42,bladder,0.8267123103141785,07
427,43,bladder,0.9165674448013306,07
428,44,bladder,0.8642869591712952,07
429,45,bladder,0.8714821338653564,07
430,46,bladder,0.7051393389701843,07
431,47,bladder,0.85589200258255,07
